ISO,Country/Group,1.1.1) Internet users / % of households,1.1.2) Fixed-line broadband subscribers / Per 100 inhabitants,1.1.3) Mobile subscribers / Per 100 inhabitants,1.1.4) Gender gap in internet access / % difference,1.1.5) Gender gap in mobile phone access / % difference,1.2.1) Average fixed broadband upload speed / Kbps,1.2.2) Average fixed broadband download speed / Kbps,1.2.3) Average fixed broadband latency / ms,1.2.4) Average mobile upload speed / Kbps,1.2.5) Average mobile download speed / Kbps,1.2.6) Average mobile latency / ms,1.2.7) Bandwidth capacity / Bit/s per Internet user,1.3.1) Network coverage (min. 2G) / % of population,1.3.2) Network coverage (min. 3G) / % of population,1.3.3) Network coverage (min. 4G) / % of population,"1.3.4) 5G deployment / Qualitative rating 0-2, 2=best","1.3.5) Government initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best","1.3.6) Private sector initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best",1.3.7) Internet exchange points / Number of IXPs per 10 million inhabitants,1.4.1) Urban electricity access / % of population,1.4.2) Rural electricity access / % of population,"2.1.1) Smartphone cost (handset) / Score of 0-100, 100=most affordable",2.1.2) Mobile phone cost (prepaid tariff) / % of monthly GNI per capita,2.1.3) Mobile phone cost (postpaid tariff) / % of monthly GNI per capita,2.1.4) Fixed-line monthly broadband cost / % of monthly GNI per capita,"2.2.1) Average revenue per user (ARPU, annualized) / USD","2.2.2) Wireless operators' market share / HHI score (0-10,000)","2.2.3) Broadband operators' market share / HHI score (0-10,000)","3.1.1) Availability of basic information in the local language / Qualitative rating 0-3, 3=best","3.1.2) Concentration of websites using country-level domains / Qualitative rating 0-3, 3=best","3.1.3) Availability of e-Government services in the local language / Qualitative rating 0-2, 2=best","3.2.1) e-Finance content / Qualitative rating 0-2, 2=best",3.2.2) Value of e-finance / %,"3.2.3) e-Health content / Qualitative rating 0-3, 3=best",3.2.4) Value of e-health / %,3.2.5) e-Entertainment usage / %,"3.2.6) e-Commerce content / Score of 0-100, 100=best",3.2.7) Value of e-Commerce / %,"3.2.8) Open data policies / Qualitative rating 0-2, 2=best",4.1.1) Level of literacy / % of population,4.1.2) Educational attainment / Years of schooling,"4.1.3) Support for digital literacy / Qualitative rating 0-3, 3=best","4.1.4) Level of web accessibility / Qualitative rating 0-4, 4=best","4.2.1) Privacy regulations / Qualitative rating 0-2, 2=best",4.2.2) Trust in online privacy / %,4.2.3) Trust in Government websites and apps / %,4.2.4) Trust in Non-government websites and apps / %,4.2.5) Trust in information from social media / %,4.2.6) e-Commerce safety / %,"4.3.1) National female e-inclusion policies / Qualitative rating 0-4, 4=best","4.3.1.1) Comprehensive female e-inclusion plan / Qualitative rating 0-2, 2=best","4.3.1.2) Female digital skills training plan / Qualitative rating 0-1, 1=best","4.3.1.3) Female STEM education plan / Qualitative rating 0-1, 1=best","4.3.2) Government e-inclusion strategy / Qualitative rating 0-2, 2=best","4.3.3) National broadband strategy / Qualitative rating 0-3, 3=best","4.3.4) Funding for broadband buildout / Qualitative rating 0-1, 1=best","4.3.5) Spectrum policy approach / Qualitative rating 0-2, 2=best","4.3.5.1) Technology-neutrality policy for spectrum use / Qualitative rating 0-1, 1=best","4.3.5.2) Unlicensed spectrum policy / Qualitative rating 0-1, 1=best","4.3.6) National digital identification system / Qualitative rating 0-2, 2=best","4.3.7) Government efforts to promote 5G / Qualitative rating 0-3, 3=best",BG1) Nominal GDP / USD billions,BG2) Population / Millions,BG3) Urban population / % of total population,BG4) GNI per capita / US$ per person,"BG5) GINI coefficient / Score, 0-100; 0 is perfect equality; 100 is perfect inequality",BG6) Population under the poverty line / % of population,BG7) Total electricity access / % of population,BG8) Cable landing stations / Number of cable landing stations per 10 million inhabitants,BG9) Percentage of schools with Internet access / % of schools,"BG10) Global Peace Index / Score, 1-5; 1 = best","BG11) Democracy Index / Score, 0-10; 10 = best","BG12) Corruption Perceptions Index / Score, 0-100; 100 = best","BG13) EIU Business Environment Rankings / Score, 1-10, 10 = high","BG14) UN E-Government Development Index / Score, 0-1; 1 = best",BG15) Internet users (population) / Millions,BG16) Offline population / Millions,BG17) Internet access gender gap / Difference in percentage points,BG18) Mobile phone access gender gap / Difference in percentage points,BG19) Internet users (percent of population) / % of population,BG20) Male internet users / % of male population,BG21) Female internet users / % of female population,BG22) Male mobile phone subscribers / % of male population,BG23) Female mobile phone subscribers / % of female population,BG24) Total fixed line broadband subscribers / Number of subscriptions,Continent
DZ,Algeria,74.4,7.26,121.9,21.7,7.3,2090,3990,64,7080,7340,75,17239,98,96.55,30.64,0,2,0,0,100,100,32,2.04,2.2,4.4,54,3514,9763,3,1,1,1,32,2,32,94,38.2,68,1,81.4,8,1,0,2,46,34,28,38,37.5,0,0,0,0,1,2,1,1,1,0,2,0,173.6,42.1,72.7,4060,27.6,0.2,100,1.9,53,2.2,3.5,35,4.4,0.4,25.16,17.07,13,6,59.6,60,47,82,76,3063835,Africa
AR,Argentina,75.9,19.1,130,-5.7,-3.6,7960,33960,31,10610,24120,42,42275,98,95,85,1,2,2,5.64,100,85.3,43.9,1.12,0.83,3.59,81,3337,3279,3,2,2,2,62,2,50,94,50,66,2,99,10.6,3,2,2,60,38,34,30,62,3,2,1,0,2,3,1,2,1,1,2,0,519.7,44.4,91.9,12370,41.2,0.2,98.8,2.5,55.5,2,7,40,5.2,0.7,32.64,11.29,-4,-3,74.3,70,74,83,86,8473655,South America
AU,Australia,86.1,32.22,113.6,2.1,2.2,20030,42630,24,16670,68870,30,67209,99.4,99.4,99,2,2,2,8.03,100,100,93.6,0.5,0.27,1.25,356,3754,2819,3,3,2,2,44,3,54,96,91.8,60,2,100,12.7,3,2,2,52,54,18,12,58,4,2,1,1,2,3,1,2,1,1,0,3,1419.6,24.9,86,53190,35.8,0.5,100,11.6,100,1.4,9.1,77,8.3,0.9,21.28,3.31,2,2,86.5,94,92,93,91,7922000,Oceania
AT,Austria,88.8,28.35,123.5,2.2,-1,16920,55030,20,14970,46850,27,52219,99,98,98,2,2,2,4.64,100,100,68.8,0.16,0.15,0.84,234,3519,3767,3,3,2,2,50,3,70,92,89.7,70,2,100,12.6,3,2,2,58,50,28,26,56,4,2,1,1,2,3,1,2,1,1,2,3,456.3,8.6,58.3,49260,30.5,0.5,100,0,100,1.3,8.3,76,7.9,0.8,7.8,1.09,2,-1,87.7,91,89,96,97,2521000,Europe
AZ,Azerbaijan,78.2,18.2,103.9,15,11.5,23490,21200,31,16110,30260,30,52143,100,96.9,49,1,2,2,0,100,100,22.7,1.38,0.69,1.71,50.4,3521,2675,3,3,1,1,45,3,52,93,61.8,43,1,99.8,10.5,1,1,2,39,47,26,25,38.3,0,0,0,0,2,2,1,0,0,0,2,0,46.9,10,55.6,4050,26.6,0,100,0,60.6,2.4,2.6,25,5.1,0.7,7.94,2.01,12,11,79.8,80,68,96,85,1810474,Europe
BH,Bahrain,97.5,11.57,130,0.2,-1,8010,27180,12,14470,34980,27,130219,100,100,100,2,2,2,19.96,100,100,23.1,0.46,1.51,1.51,229,3519,5184,3,2,2,2,20,3,54,94,60.6,42,2,97.5,9.4,3,3,2,50,56,32,40,46,2,2,0,0,0,2,1,1,1,0,2,3,37.7,1.5,89.3,21890,35.3,0,100,26.6,100,2.4,2.7,36,6.6,0.8,1.55,0.02,0.2,-1,98.6,98.7,98.5,99,100,181609,Asia
BD,Bangladesh,6.8,6.33,97.3,55.6,19.5,28210,24950,21,7410,10620,51,24096,99.54,95.23,58,0,2,2,0.06,96.1,78.5,46.7,2.35,2.25,3.39,19,3511,4203,3,1,1,1,68,1,62,92,39,66,2,73.9,6.1,3,1,0,66,56,30,36,55.1,2,1,1,0,2,3,1,2,1,1,2,0,274,161.4,36.6,1750,32.4,2.7,84.9,0.1,82.3,2.1,5.6,26,4.4,0.5,23.95,135.73,20,17,15,36,16,87,70,10221069,Asia
BE,Belgium,87.3,39.22,103.4,2.1,0,16800,85230,19,15570,50800,30,134827,100,100,100,0,2,2,1.74,100,100,70.9,0.51,0.48,0.88,290,3387,3537,3,3,2,2,58,3,42,88,87.9,74,2,100,11.8,3,3,2,56,48,18,28,60,4,2,1,1,2,2,1,2,1,1,2,0,532.3,11.5,98,45340,27.7,0,100,3.5,100,1.5,7.8,75,7.7,0.8,10.18,1.3,2,0,88.7,94,92,99,99,4502950,Europe
BW,Botswana,45.7,1.78,130,32.3,2.3,9320,8340,60,8040,14230,43,20399,97,95,65,0,2,0,4.27,72.5,26.7,58,1.56,2.13,4.79,82.8,3949,9532,2,3,0,1,46,2,68,94,41,36,0,88.2,9.3,3,1,2,32,60,22,22,43.8,0,0,0,0,2,3,1,1,1,0,2,0,18.6,2.3,69.4,7750,53.3,4.3,58.5,0,86.3,1.7,7.8,61,4.9,0.4,1.04,1.17,20,2,47,62,42,87,85,40044,Africa
BR,Brazil,74.9,14.88,98.8,-3.2,-3.8,25470,47750,20,9940,23800,50,29238,95.83,95.52,83.05,1,2,2,1.58,100,98.6,32.5,0.73,4.77,2.38,78,2557,2299,3,2,2,2,60,2,68,96,56.9,60,2,93.2,7.8,2,0,2,58,52,42,44,70,3,2,0,1,2,3,1,1,0,1,2,0,1868.3,209.2,86.6,9140,53.3,1.8,99.8,2.1,69,2.3,7,35,6.1,0.7,140.23,67.61,-2,-3,67.5,63,65,80,83,31177903,South America
BG,Bulgaria,72.1,26.61,118.1,0,1.1,46070,55220,13,17670,57660,28,274776,100,100,99.71,1,2,2,7.11,100,100,32.9,3.15,1.05,1.74,92,3343,3176,3,3,2,2,68,3,78,96,78.3,62,2,98.4,11.8,3,2,2,34,34,26,16,44,3,2,1,0,2,2,1,2,1,1,2,3,65.1,7,75,8860,37.4,0.5,100,1.4,100,1.6,7,42,6.5,0.7,4.57,2.48,0,1,64.8,66,66,91,90,1876225,Europe
BF,Burkina Faso,12.9,0.07,97.9,37.5,18.5,10570,9910,111,8883,6383,53,5915,93,33,0,0,0,0,0.51,63.8,1.6,15.2,14.8,13.98,43.68,66,3833,8837,2,0,0,1,40,1,70,88,18.8,64,2,41.2,1.6,1,3,2,62,48,32,40,50,0,0,0,0,1,3,1,1,1,0,2,0,14.4,19.8,29.4,660,35.3,11.1,19.8,0,2.6,2.2,4.8,41,5.2,0.3,3.07,16.12,9,15,16,24,15,81,66,13818,Africa
BI,Burundi,0.3,0.04,56.5,40,26.8,6910,8020,37,8116,126,60,20372,53.65,44.48,20.93,0,0,0,0.89,68.5,2,0,13.31,2.73,322.22,10.8,4223,4731,3,0,0,1,56,1,62,94,9,42,0,68.4,3.1,0,0,0,36,28,24,22,44,0,0,0,0,0,3,1,1,0,1,1,0,3.1,10.9,13,280,38.6,30.4,10.6,0,0.7,2.5,2.3,17,4.5,0.3,0.29,10.54,8,11,2.7,20,12,41,30,3935,Africa
KH,Cambodia,40,1.02,119.5,32,14.8,25190,20990,15,12330,13750,44,48404,99,85.1,80.3,1,2,1,1.23,100,63.6,28.9,1.95,1.95,11.71,27.8,3460,5127,3,2,1,1,68,1,66,96,30.8,78,0,80.5,4.8,3,1,0,76,44,24,22,52,0,0,0,0,1,2,1,0,0,0,2,1,24.6,16.2,23.4,1380,37.9,2.3,72.1,1.2,6.6,2.1,3.6,20,5.8,0.4,6.5,9.75,16,12,40,50,34,81,69,166200,Asia
CM,Cameroon,21.7,0.07,69.1,11.4,7.4,6580,9920,96,8340,15160,58,2681,95.81,77.33,65.48,0,1,0,0.4,99,33.3,41.6,3.07,6.15,22.92,48,3493,3895,2,1,1,2,34,1,48,86,32,48,0,77.1,6.3,2,1,0,50,50,34,30,59.2,1,1,0,0,1,2,1,0,0,0,2,0,38.5,25.2,56.4,1440,46.6,7.6,70.4,2.4,23.1,2.5,3.3,25,5,0.4,5.7,18.87,5,6,23.2,44,39,81,75,18770,Africa
CA,Canada,91.2,38.57,89.2,2.1,6.6,50590,118620,22,15230,67570,36,74792,99.4,99.4,99,1,2,2,4.59,100,100,69.3,0.94,1.09,0.73,509,2712,1482,3,1,2,2,66,2,70,94,91.8,70,2,100,13.3,3,2,2,56,54,16,18,82,4,2,1,1,2,3,1,2,1,1,0,3,1712.2,37.1,81.4,44860,34,0.2,100,2.7,97,1.3,9.2,81,8.4,0.8,33.43,3.31,2,6,91,95,93,91,85,14299293,North America
CL,Chile,87.5,17.37,130,1.4,-1.1,28160,87730,23,13060,19520,37,127751,99,95,88,0,2,2,1.6,100,100,65,2.53,1.39,2.92,151,2614,2720,3,3,2,2,48,3,74,98,67,56,2,96.4,10.4,3,2,2,68,54,40,32,54,3,2,0,1,2,3,1,2,1,1,2,3,298.2,18.7,87.6,14670,46.6,0.4,100,15.5,78,1.6,8,67,7.8,0.7,15.21,3.26,1,-1,82.3,74,73,91,92,3252603,South America
CN,China,59.6,28.54,115,-7.9,-1.1,34260,101280,13,18930,58440,35,27722,99.9,99.4,99.4,2,2,0,0.05,100,100,46.5,1.36,1.03,2.18,100,4329,3194,3,3,2,2,78,2,70,96,68.8,96,2,96.8,7.9,3,1,2,84,78,24,22,88,3,2,0,1,2,2,1,1,0,1,2,3,13368,1385,57.6,9470,38.6,0.2,100,0.3,98,2.2,3.3,39,5.9,0.7,771.61,649.41,-5,-1,54.3,63,68,94,95,407382000,Asia
CO,Colombia,50,13.45,129.9,18.3,2.4,15170,27190,41,11640,18410,52,157599,100,100,98,0,2,0,0.4,99.2,85.5,49,2.58,2.48,3.97,65,3503,2494,3,2,2,2,62,3,74,88,60.5,58,2,95.1,8.3,3,2,2,62,46,26,20,62,2,1,1,0,2,3,1,2,1,1,2,3,331,49.7,80.8,6190,49.7,1.6,96.5,2.8,69.9,2.7,7,36,6.1,0.7,30.45,18.46,11,2,62.3,60,49,83,81,6678543,South America
HR,Croatia,81.5,26.96,105.6,9,10.8,15680,35850,26,17030,59830,31,142630,100,99.4,98.5,1,2,0,2.41,100,100,46.6,0.79,1.14,1.46,161,3697,3682,3,3,2,2,58,3,72,100,84.3,72,2,99.3,11.4,3,1,2,28,30,24,28,59.2,2,2,0,0,2,2,1,1,1,0,2,0,60.8,4.2,56.9,13830,31.1,0.3,100,4.8,86.5,1.6,6.6,48,6,0.7,3.02,1.14,7,10,72.7,78,71,93,83,1120360,Europe
CU,Cuba,17.7,0.87,47.4,12.1,2.8,7440,5730,165,15010,30340,97,540,85.3,67.1,0,0,1,0,0.88,100,100,29.7,4.05,3.21,25.95,134.7,10000,10000,3,2,1,1,47.3,2,60,94.3,42.2,50.3,0,99.7,11.8,3,0,0,61.3,45,34.3,25.7,54,0,0,0,0,2,3,0,1,1,0,2,0,100,11.3,77,8325,46.2,1.8,100,3.5,29.2,2.1,3,47,3.9,0.4,6.48,4.86,4.8,2.3,57.1,39.7,34.9,81.9,79.5,98838,North America
DK,Denmark,97,44.06,125.1,2,0,91700,118870,14,19530,50670,27,87136,100,100,100,1,2,2,3.48,100,100,67.2,0.75,0.39,0.81,251,2918,3515,3,3,2,2,52,3,50,86,94.2,68,2,100,12.6,3,2,2,42,58,18,22,54,2,2,0,0,2,3,1,2,1,1,2,3,352.1,5.8,87.9,60190,28.2,0.1,100,73,100,1.3,9.2,88,8.4,0.9,5.62,0.14,2,0,97.6,98,96,100,100,2534348,Europe
EG,Egypt,51,6.69,95.3,22.7,16.1,5350,15210,48,9040,16840,40,24900,99.8,98.71,89,1,2,2,0.21,99.9,99.9,34,0.45,0.5,1.27,27,3281,6541,3,0,1,2,48,2,62,94,39.4,54,1,71.2,7.3,3,0,2,56,56,24,24,52.1,2,1,1,0,2,2,1,0,0,0,2,1,249.1,97.1,42.7,2800,31.8,0.2,99.9,2.7,49.1,2.5,3.4,35,5.2,0.5,46.18,52.24,10,14,46.9,44,34,87,73,6579762,Africa
SV,El Salvador,17.1,7.67,130,21.7,11.4,4290,12340,49,5950,10930,35,134913,92,85,68,0,2,2,0,99.3,91.6,43.5,5.06,3.33,7.36,103.2,2596,3686,2,2,1,2,58,2,68,98,37.2,40,2,88.5,6.9,3,2,1,48,62,28,28,44,1,0,1,0,0,0,0,2,1,1,2,0,26,6.4,72,3820,38,0.4,97.1,0,40.1,2.3,6,35,5.9,0.5,2.16,4.23,13,10,33.8,60,47,88,78,492265,North America
EE,Estonia,90.5,33.35,130,8,1,51890,64560,17,14510,46300,25,122159,100,100,99,1,2,2,30.33,100,100,55.3,0.84,0.58,1.16,154,3485,3585,3,3,2,2,74,3,80,92,90.7,66,2,99.8,13,3,2,2,38,64,16,22,60,4,2,1,1,2,3,1,2,1,1,2,3,30.8,1.3,68.9,20940,32.7,0.4,100,45.5,100,1.7,8,73,7.5,0.8,1.18,0.14,7,1,89.4,88,81,98,97,441173,Europe
ET,Ethiopia,18,0.06,37.2,33.3,29.9,19020,12060,38,10010,16220,56,1383,85,66,7,0,0,0,0,96,31.6,2.7,5.77,12.18,18.45,31,10000,10000,3,1,1,1,24,3,42,86,31.1,60,1,51.8,2.8,3,2,2,68,58,32,26,42.6,3,1,1,1,2,2,1,1,0,1,1,0,80.3,109.2,20.8,790,35,8.9,45,0,7.3,2.4,3.4,34,4.3,0.3,19.81,86.59,5,20,18.6,15,10,67,47,62950,Africa
FR,France,82.4,44.77,108.4,4.3,-1.2,87690,131030,29,11060,44120,41,54598,99,99,99,1,2,2,2.46,100,100,81.3,0.37,0.35,0.88,285,2648,2697,3,3,2,2,54,3,52,80,90.4,42,2,100,11.4,1,2,2,24,36,2,8,46,2,2,0,0,2,3,1,2,1,1,2,3,2781.8,65,80.4,41080,32.7,0,100,3.7,98.6,1.9,7.8,72,8,0.9,53.32,11.67,4,-1,82,94,90,85,86,29097000,Europe
GA,Gabon,41,1.37,130,15.5,4.5,7720,22080,111,11643,20288,45,9608,99,97,97,1,0,0,4.82,98.5,34.7,45.6,1.26,1.27,4.44,122.4,5058,4557,2,0,1,1,40,1,46,90,38.3,52,2,84.7,8.3,0,1,2,66,50,42,42,66,0,0,0,0,1,3,1,1,1,0,2,0,17,2.1,89.4,6800,38,0.8,91.7,19.3,48.1,2.1,3.6,31,5.2,0.4,1.28,0.78,9,4,62,58,49,89,85,29099,Africa
DE,Germany,89.9,41.09,129.3,7.8,3.3,21470,77570,23,12720,36040,40,53756,99,97.5,97.5,2,2,2,2.41,100,100,57.7,0.5,0.46,1.08,237,3362,2339,3,2,2,2,38,2,48,92,92.9,64,2,100,14.1,2,3,2,66,46,18,20,60,3,2,0,1,2,3,1,2,1,1,2,3,3956.7,82.8,77.3,47180,31.7,0,100,1.2,94.4,1.5,8.7,80,8.3,0.9,74.6,8.53,7,3,89.7,90,83,90,87,34152000,Europe
GH,Ghana,35.5,0.2,130,18,14.3,32440,33360,41,8970,14650,54,18113,96.79,80,34.86,0,0,1,0.34,93,73.2,38.8,3.3,2.9,14.52,34,3702,3648,2,2,1,2,52,1,66,86,42.8,56,1,79,7.2,3,0,2,58,48,34,44,53.1,1,0,0,1,2,1,1,2,1,1,2,1,65.6,29.5,56.1,2130,43.5,4.7,84.3,1.7,19.9,1.8,6.6,41,5.3,0.5,11.36,17.76,9,12,39,50,41,84,72,58808,Africa
GR,Greece,71,37.65,115.7,8.3,3.2,6070,25810,37,14340,40740,28,115022,99.9,99.7,98.8,1,2,2,1.9,100,100,64.8,2.15,0.95,1.37,130,3617,3259,3,3,1,2,30,2,80,94,77.6,60,2,97.7,10.5,3,3,2,34,34,20,28,64,2,2,0,0,0,2,1,2,1,1,2,1,217.4,10.5,79.1,19600,36,0.8,100,8.6,72,1.9,7.3,45,6,0.8,7.68,2.85,6,3,73,72,66,93,90,3961864,Europe
GT,Guatemala,23.6,3.14,118.7,22.2,13.5,5480,11250,47,15830,18830,32,11642,100,95,40.35,0,2,2,0,91.9,93.8,46.2,3.73,8,5.99,88.8,5229,4623,2,2,2,2,36,1,50,96,37.5,38,2,79.1,6.5,3,2,0,60,38,26,22,52,1,0,0,1,1,0,0,2,1,1,2,0,78.5,17.3,51.1,4410,48.3,2.5,92.8,2.9,44,2.3,5.6,27,5.4,0.5,10.99,5.92,10,10,65,45,35,74,64,531000,North America
HN,Honduras,26.5,3.7,79.2,20.4,3.8,7860,13310,45,12820,24920,52,48886,90.74,78.36,67.46,0,1,0,1.11,85.7,69.7,31.1,10.06,4.77,14.73,88.8,5063,3347,2,3,2,1,44,1,64,96,42.4,58,1,87.2,6.6,1,2,0,64,34,50,22,56,0,0,0,0,0,0,0,0,0,0,2,0,23.8,9,57.1,2330,50.5,6.8,78.8,4.4,35.5,2.3,5.6,29,5.1,0.4,2.99,6.44,10,3,31.7,49,39,80,77,354989,North America
HK,Hong Kong,92.3,36.6,130,10.5,5.3,153320,157640,21,12420,34260,30,8203481,100,99,99,1,2,2,6.78,100,100,65.7,0.57,0.66,0.46,216,3000,3936,3,2,2,2,64,3,62,92,90.5,60,2,96,12,3,0,2,62,50,32,26,46.9,0,0,0,0,2,1,1,2,1,1,2,3,362.7,7.4,100,50310,53.9,0,100,0,95.3,2,6.2,76,8.3,0.7,6.53,0.77,9,5,89.4,86,77,95,90,2688949,Asia
HU,Hungary,83.3,31.72,103.4,1.3,2.2,65050,128420,16,15820,43880,27,60929,99.2,99.2,99.2,1,2,2,2.06,100,100,62.2,1.54,1.52,2.02,164,3616,2785,3,3,1,2,72,2,66,96,78.9,72,1,99,11.9,3,0,2,42,28,18,26,40.8,2,2,0,0,2,2,1,2,1,1,2,0,157.6,9.7,71.3,14590,30.4,0.3,100,0,98.7,1.5,6.6,46,6.9,0.7,7.38,2.32,1,2,76.1,78,77,93,91,3079549,Europe
IN,India,25.4,1.34,86.9,57.1,16.9,36260,38000,22,4730,11230,61,25942,97,94,94,0,2,2,0.17,99.6,91.9,49.4,0.48,4.02,4.46,19,2701,2719,3,0,2,2,56,3,74,96,57,70,2,74.4,6.5,2,3,2,74,66,28,38,80,3,1,1,1,2,3,1,2,1,1,2,3,2718.3,1352.6,34,2020,35.7,4.3,94.6,0.2,24.4,2.6,7.2,41,5.6,0.6,461.17,877.5,20,15,34.4,35,15,89,74,18170000,Asia
ID,Indonesia,66.2,3.28,119.8,8.1,5.6,12420,20350,19,10930,14460,45,43194,98.71,93.39,92.7,1,2,1,0.19,100,96.2,41.8,0.78,1.4,7.96,26,3318,6570,3,2,1,1,86,2,76,92,50.1,82,2,95.7,8,3,0,2,84,58,48,32,73.5,3,2,0,1,1,2,1,1,1,0,2,0,1042.1,262.9,55.4,3840,38.1,0.9,98.3,7,51.2,1.8,6.4,38,5.8,0.5,106.5,161.17,3,4,39.8,37,34,71,67,8781060,Asia
IR,Iran,79.6,11.99,108.5,7.4,15.1,9470,14840,45,12620,28490,36,24266,96.5,96.5,88.02,0,2,2,0.49,100,95.7,37.2,0.37,0.66,1.01,63,4655,5899,3,2,2,2,45,3,52,93,76.9,43,2,85.5,10,3,0,2,39,47,26,25,38.3,4,2,1,1,2,3,1,2,1,1,2,1,421.7,81.8,74.9,5470,40,2.3,98.9,1.3,36.3,2.5,2.4,28,3.7,0.6,57.26,24.54,5,14,70,68,63,93,79,9806123,Asia
IE,Ireland,89.1,29.68,103.2,-5.9,3.3,27370,75820,25,10340,25500,36,78786,99,95,90,2,0,2,6.23,100,100,90.4,0.51,0.56,1.15,327,3643,2256,3,3,2,2,66,3,68,92,93.3,60,2,100,12.5,3,0,2,46,46,24,32,60,4,2,1,1,2,2,1,2,1,1,0,3,382.8,4.8,63.2,59770,31.8,0.2,100,33.2,92.3,1.4,9.2,73,8.1,0.8,4.07,0.75,-5,3,84.5,85,90,91,88,1430160,Europe
IT,Italy,71.7,28.03,130,10.3,2,23160,59220,28,13090,35760,48,33968,100,100,99,2,2,2,1.81,100,100,65.5,0.92,0.43,1.73,206,3012,2638,3,3,2,2,30,3,68,96,81.6,68,2,99.2,10.2,3,2,2,50,20,16,18,62,2,1,1,0,1,2,1,2,1,1,2,2,2085.4,60.6,70.4,33540,35.4,1.4,100,5.1,88.3,1.8,7.7,52,6.6,0.8,45.1,15.53,10,2,74.4,97,87,98,96,16993703,Europe
CI,Ivory Coast,15.9,0.7,130,24.1,6.6,7430,15140,144,9880,19470,40,6163,97.12,70,55,0,2,1,0.4,99.5,31.7,32.2,5.47,21.52,26.47,52,3400,9762,2,2,1,1,30,1,48,94,31.3,46,2,47.2,5.2,0,1,2,56,44,42,36,48,0,0,0,0,0,2,1,1,1,0,2,0,43,24.9,50.8,1610,41.5,9.1,63,1.6,13.5,2.2,4.2,35,5.4,0.3,11.74,13.33,13,6,46.8,54,41,91,85,175918,Africa
JM,Jamaica,52.9,9.7,101,9.9,1.1,14400,30490,37,10620,29790,39,50355,100,98,73,0,2,2,3.41,100,97.8,42.3,1.49,5.38,8.81,168,5558,5357,3,0,0,2,50,2,68,92,58.2,70,2,88.5,9.8,3,2,0,78,46,26,32,54,3,2,0,1,2,0,1,2,1,1,2,0,14.8,2.9,55.7,4990,45.5,0.4,99,27.3,72.8,2,7,44,5.8,0.5,1.61,1.31,7,1,55.1,71,64,91,90,284756,North America
JP,Japan,98.5,32.16,130,13.2,5.3,120910,103310,26,10090,33490,55,26889,99.9,99.9,99,1,2,2,0.79,100,100,71.2,0.59,1.47,0.99,424,3543,2064,3,1,2,2,16,3,60,90,87.6,80,2,100,12.8,3,4,2,26,42,22,26,38,1,0,0,1,2,3,1,2,1,1,2,3,4970.6,127.2,91.6,41340,32.1,0.2,100,3.8,98.7,1.4,8,73,7.7,0.9,107.85,19.65,10,5,84.6,76,66,94,89,40910708,Asia
KZ,Kazakhstan,87.6,13.44,130,-2.7,-2.2,41760,40000,31,12190,18760,41,55068,96.6,87.9,75.3,1,2,2,0.55,100,100,55.6,0.32,0.69,0.89,39,3393,5168,3,3,1,2,48,3,54,92,68.5,42,2,99.8,11.8,3,1,2,28,44,28,18,32,2,2,0,0,2,3,1,2,1,1,2,1,168.7,18.3,57.4,7830,27.5,0,100,0,97,1.9,2.9,31,5.4,0.8,14.45,3.86,-2,-2,78.9,73,75,89,91,2462900,Asia
KE,Kenya,33.6,0.72,96.3,21,1.1,14630,16760,43,12090,20580,44,386743,96,86,35,0,2,2,0.39,100,65.7,33,4.05,4.03,37.88,60,4903,2602,2,3,2,2,68,1,74,90,49,66,2,81.5,6.6,3,0,0,62,66,44,22,72,1,0,0,1,2,3,1,2,1,1,2,0,87.9,51.4,27,1620,40.8,11.6,75,1.4,29.8,2.3,5.1,27,4.3,0.5,8.95,41.27,13,1,17.8,62,49,87,86,371498,Africa
KW,Kuwait,100,4.76,130,1.1,0,23610,58470,23,20760,43280,25,85057,100,100,100,2,2,2,2.14,100,100,69.2,0.41,0.75,0.35,379,3378,2821,3,2,2,2,32,3,58,96,69.3,58,1,96.1,7.3,3,0,2,54,56,30,40,57.1,2,2,0,0,0,3,1,0,0,0,2,1,141.6,4.7,100,33690,35.3,0,100,8.6,84.3,1.8,3.8,41,6.3,0.7,4.12,0.02,1,0,99.6,95,94,100,100,196757,Asia
LA,Laos,24.5,0.64,51.9,-5.9,3.8,22860,22790,18,14820,25090,36,18116,94,78,43,1,0,0,1.42,98.2,93.2,23,2.49,0.64,9.24,8.4,3672,4070,3,0,1,1,38,1,42,98,35.1,62,0,84.7,5.2,2,1,2,52,38,24,52,40.8,2,2,0,0,0,0,0,1,1,0,2,0,18,7.1,35,2460,36.4,5.3,94.9,0,33.3,1.8,2.4,29,5.6,0.3,1.77,5.18,-2,3,25.5,34,36,79,76,45379,Asia
LV,Latvia,85.4,27.28,107.3,3.7,-3.2,104370,98850,16,12430,33220,26,134348,99,99,95,1,2,0,10.31,100,100,49.8,0.59,0.91,1.6,139,3356,4101,3,3,1,2,44,2,64,94,81.6,74,2,99.9,12.8,3,1,2,28,44,10,24,48,2,2,0,0,0,2,1,2,1,1,2,1,34.9,1.9,68.1,16740,34.2,0.4,100,15.5,100,1.7,7.4,58,6.4,0.7,1.61,0.32,3,-3,83.6,81,78,94,97,526002,Europe
